Dataset,Model,Epoch,Train Loss,Validation Loss,Test Loss
SMAP,StreamDaD,3,0.3736208,0.1280503,0.4254735
SMAP,StreamDaD,4,0.3170986,0.1115251,0.4003089
SMAP,StreamDaD,5,0.2908185,0.1038668,0.3883443
SMAP,StreamDaD,6,0.2783706,0.1001027,0.3823742
SMAP,StreamDaD,7,0.2727181,0.0981147,0.3793598
SMAP,StreamDaD,8,0.269226,0.0970533,0.377864
SMAP,StreamDaD,9,0.2678233,0.0966796,0.3770944
SMAP,StreamDaD,10,0.2670163,0.096492,0.3767151
SMAP,StreamDaD,11,0.2670486,0.0962953,0.3765238
SMAP,StreamDaD,12,0.2665519,0.0962791,0.3764272
SMAP,StreamDaD,13,0.2664818,0.0963689,0.3763852
SMAP,StreamDaD,14,0.2662049,0.0961174,0.3763644
SMAP,StreamDaD,15,0.2661882,0.0962412,0.3763584
SMAP,StreamDaD,16,0.2668482,0.0962381,0.3763572
SMAP,StreamDaD,17,0.2662528,0.0963081,0.3763568
